node,bioproject_id_META_PRJNA248737,bioproject_id_META_PRJNA269984,bioproject_id_META_PRJNA278886,bioproject_id_META_PRJNA288601,bioproject_id_META_PRJNA381936,bioproject_id_META_PRJNA448593,bioproject_id_META_PRJNA475142,bioproject_id_META_PRJNA475751,bioproject_id_META_PRJNA530580,bioproject_id_META_PRJNA530794,bioproject_id_META_PRJNA578285,bioproject_id_META_PRJNA587095,bioproject_id_META_PRJNA592372,bioproject_id_META_PRJNA658369,bioproject_id_META_PRJNA809394,bioproject_id_META_PRJNA824420,bioproject_id_META_PRJNA836696
n61,0.000369192876762,1.6393106949351618e-10,0.0015386352031941,0.000913341443678,0.0002997859056981,0.0008614373808232,4.2375207945404846e-05,0.0019446768346915,0.001104439304021,0.0004025234527614,0.0003351628862577,1.6393106949351618e-10,0.0003151852261071,0.0055938516938012,0.9843307578520268,0.0017843672102165,0.0001642671941532
n6363,0.0045668322673106,2.027719174199138e-09,0.0190297821000698,0.0112797781050222,0.0037081321947804,0.0106438523663277,0.0759100578543353,0.0240020003161372,0.0610524463948301,0.0039014876622966,0.6752701749177732,2.027719174199138e-09,0.003903447313536,0.0147212376161978,0.0679122365563913,0.0220708111053531,0.0020277191741996
n395395,1.6592189898362832e-05,7.367349453684367e-12,9.027480415778768e-05,4.113756844492638e-05,1.3472835269968313e-05,4.073838499519711e-05,0.9991370777867034,8.72069101918245e-05,3.910140118741532e-05,1.417534704171527e-05,7.932267498463409e-05,7.367349453684367e-12,1.5779088699804357e-05,5.434623614622797e-05,0.0002832097300801,8.019767800990175e-05,7.367349453842389e-06
n401,0.0125515730752348,5.573219111804354e-09,0.0522997249409791,0.0310015386383153,0.0101918420527892,0.029240030246322,0.0200998834550615,0.0659698880325705,0.0223506365140372,0.0107233022603183,0.0114291501432645,5.573219111804354e-09,0.010717272578786,0.040455414687895,0.616734940750964,0.0606615723652193,0.0055732191118045
SAMN11319341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n403,0.0004741495240027,2.105344922784242e-10,0.0027531306270499,0.001187543584613,0.000385011790951,0.0013241383259862,0.9714765709680662,0.0024920852031882,0.0014229712414646,0.0004050845573509,0.000534755470907,2.105344922784242e-10,0.0037508512604965,0.0015356389329905,0.0097551415809259,0.0022923920186579,0.0002105344922797
n409409,5.08834713439113e-05,2.259356031955421e-11,0.0002156078087517,0.0001272127627288,4.14064606768284e-05,0.0053743246013216,0.9897181993734736,0.0002674387305867,0.0003356741203867,4.3471747940115554e-05,0.0001382796525884,2.259356031955421e-11,0.0001225290289799,0.0001646940596963,0.0031117952518234,0.0002658893241946,2.2593560319680443e-05
SAMN26308802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SAMN29599259,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n22,0.001734313270524,7.700794006842743e-10,0.0316332614659049,0.3962069943036689,0.0014085113348289,0.004196683429587,0.0001990609527571,0.0455399853851923,0.1155414867550281,0.0014906083100385,0.0015744546496191,7.700794006842743e-10,0.0014806079822151,0.1571103435471739,0.0850432755296096,0.0318811622177693,0.1249592493259236
n1212,0.0006976303638678,3.0976570475307025e-10,0.0033079550228585,0.0052506811892832,0.0005679559346002,0.0025403517835881,8.007260023977164e-05,0.0071073922680622,0.9151670473245784,0.0006480709793481,0.0006333269708445,3.0976570475307025e-10,0.000595576994615,0.0138750168279404,0.0447083317017515,0.0035528972482928,0.0012676921705975
n14,5.759147739093216e-05,2.5572087319801523e-11,0.0008596408381483,0.0003599558794819,4.6930064450873606e-05,0.0002366403201778,6.610233284900131e-06,0.000664787749439,0.9903467367854352,5.503168154103913e-05,5.228303957464988e-05,2.5572087319801523e-11,4.916666589708054e-05,0.0013636534091866,0.0055350503927682,0.0002882054757749,7.771593630423126e-05
n1414,0.0004517389629767,2.0058364067628408e-10,0.0131880402790566,0.0011975614661548,0.0003668731203202,0.0010907910922745,5.184968014336435e-05,0.00251035146298,0.9671788751077738,0.0003881285707752,0.0004101003681174,2.0058364067628408e-10,0.0003856559975804,0.0018986189661705,0.0084742831959858,0.002186954962183,0.0002201763663399
n1616,0.0003258585834796,1.4468953616323896e-10,0.0058327083248361,0.0039761346380924,0.0003448221447052,0.0503054726825582,3.740138665835252e-05,0.0063272643265315,0.6171660428602731,0.000296359843172,0.0002958228888626,1.4468953616323896e-10,0.0002781901216887,0.0034701815791833,0.3095363816339363,0.0015888397320359,0.0002185189646071
SAMN26304704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
n48,0.0031142593518604,1.382810715927631e-09,0.0144791637235927,0.0081253199989561,0.00253178997083,0.0091195646624785,0.0003574483589277,0.5561347551547152,0.1395862254858877,0.0026789704909138,0.0028272055573753,1.382810715927631e-09,0.0026586876393209,0.0123437560502474,0.2295192625706984,0.0150654265236237,0.0014581616949499
n51,0.0013827443545476,6.139738200399471e-10,0.0241806352211096,0.0034750014045037,0.0011232008358953,0.0034780777226058,0.000158708586445,0.8403828850154073,0.0208887410752379,0.001183860422253,0.0012552912528849,6.139738200399471e-10,0.0011804685828687,0.0047745784884692,0.0892266972272402,0.006684748017062,0.0006243605655215
n5454,0.0013360260216656,5.932296866712983e-10,0.0056184258269494,0.0035499516507473,0.0010852468337136,0.0033576120047129,0.0001533463516789,0.0077446785661862,0.0819349411787355,0.0160095240059103,0.0012128791364134,5.932296866712983e-10,0.0011405844755644,0.7559979334007353,0.1137403979422616,0.0064678496508049,0.0006506017674606
