,log_likelihood,llr_JOINT,llr_MAP,llr_MPPA,scenarios,states_per_node,unresolved,pct_unresolved,method,model,scaling,states_per_branch,smoothing,0,1,count
IncN_PLASMID,-175.87523640551046,-203.0170713427159,-203.0170713427159,-203.0170713427159,1,1.0,0,0.0,MPPA,F81,1.4538805931358318,10.0,0.0,0.9461969207936892,0.05380307920631075,45
parEI529L_AMR,-39.440634966019786,-39.55513763667608,-39.555137636676086,-39.555137636676086,1,1.0,0,0.0,MPPA,F81,0.0008520039897777958,0.005860206084325905,0.0,0.42946146601678253,0.5705385339832175,840
blaCTXM14_AMR,-53.6842011384671,-54.18681875217115,-54.18681875217114,-54.18681875217114,1,1.0,0,0.0,MPPA,F81,0.0021756373076984997,0.014964346576811595,0.0,0.9529325153371899,0.04706748466281007,14
papH_VIR,-80.4480843996053,-80.96772301159837,-80.96772301159834,-80.96772301159834,1,1.0,0,0.0,MPPA,F81,0.002655656884588724,0.018265990323598835,0.0,0.8169749350530149,0.18302506494698506,54
parCE84V_AMR,-46.468834186488834,-46.524263551600484,-46.524263551600804,-46.524263551600804,1,1.0,0,0.0,MPPA,F81,0.0001662944079142655,0.0011437968750624152,0.0,0.9274834996414197,0.07251650035858029,661
papE_VIR,-57.55837646444229,-57.80305545709456,-57.803055457094516,-57.803055457094516,1,1.0,0,0.0,MPPA,F81,0.001480731051651224,0.010184681318687109,0.0,0.6857224775897529,0.31427752241024703,36
fdeC_VIR,-74.81843355019437,-75.04437577768174,-75.04437577768172,-75.04437577768172,1,1.0,0,0.0,MPPA,F81,0.002960427076565313,0.02036224357448816,0.0,0.1056746662798174,0.8943253337201826,865
glpTE448K_AMR,-21.33696748947034,-21.3384593362523,-21.338459336252157,-21.338459336252157,1,1.0,0,0.0,MPPA,F81,0.00016233554788430552,0.001116567265913969,0.0,0.7443462963687567,0.25565370363124335,874
catB_AMR,-24.947916120965566,-25.31946831369835,-25.31946831369835,-25.31946831369835,1,1.0,0,0.0,MPPA,F81,0.0011105412181536389,0.007638462356515438,0.0,0.9886621315753995,0.011337868424600465,11
iroBCDEN_VIR,-37.42235463665308,-38.162152393598674,-38.162152393598625,-38.162152393598625,1,1.0,0,0.0,MPPA,F81,0.0005450801065206149,0.003749139434793251,0.0,0.9830437975768282,0.016956202423171723,16
parEE460D_AMR,-8.290213765417263,-8.29410751579232,-8.294107515792389,-8.294107515792389,1,1.0,0,0.0,MPPA,F81,0.00015698129210465765,0.0010797399239374217,0.0,0.9886621315189473,0.011337868481052657,8
p0111_PLASMID,-32.435204590342394,-33.38865293482701,-33.38865293482698,-33.38865293482698,1,1.0,0,0.0,MPPA,F81,0.002628980947222226,0.018082509386495457,0.0,0.9920241971722825,0.007975802827717532,6
aac6_AMR,-38.489180082327096,-38.59558581166675,-38.595585811666744,-38.595585811666744,1,1.0,0,0.0,MPPA,F81,0.0014752570033986436,0.010147030026838075,0.0,0.9259436284505609,0.07405637154943913,7
IncBOKZ_PLASMID,-68.09215159058652,-75.49862309096488,-75.49862309096488,-75.49862309096488,1,1.0,0,0.0,MPPA,F81,1.4538805931358318,10.0,0.0,0.9853498653904846,0.0146501346095154,13
ampCT32A_AMR,-17.794665341547855,-18.310188794076556,-18.31018879407655,-18.31018879407655,1,1.0,0,0.0,MPPA,F81,0.0010601370508574607,0.007291775238370041,0.0,0.9968045850447915,0.003195414955208515,6
parCS80R_AMR,-13.841404877175222,-13.884988771839716,-13.884988771839701,-13.884988771839701,1,1.0,0,0.0,MPPA,F81,0.000322922307748325,0.0022211061160932306,0.0,0.9886621315190642,0.011337868480935723,6
blaCMY_AMR,-40.57499388793316,-41.51406865049741,-41.51406865049741,-41.51406865049741,1,1.0,0,0.0,MPPA,F81,0.0027625730266571604,0.01900137493890505,0.0,0.9886621314593202,0.0113378685406797,10
parEL445H_AMR,-13.99813718062029,-14.1104655002664,-14.110465500266335,-14.110465500266335,1,1.0,0,0.0,MPPA,F81,0.0003670217878614367,0.0025244286882584927,0.0,0.892865513199815,0.107134486800185,17
sat2_AMR,-21.52036323749713,-21.719102054859334,-21.719102054859317,-21.719102054859317,1,1.0,0,0.0,MPPA,F81,0.0007092825671428488,0.0048785475952534615,0.0,0.9886621315183274,0.011337868481672586,5
blaCTXM_AMR,-23.608742956299615,-23.888771601055026,-23.88877160105502,-23.88877160105502,1,1.0,0,0.0,MPPA,F81,0.0008608515026706484,0.005921060551567742,0.0,0.9886621315192744,0.011337868480725618,7
acrF_AMR,-20.18907580889728,-20.85679979656541,-20.8567997965654,-20.8567997965654,1,1.0,0,0.0,MPPA,F81,0.001523676323368373,0.010480065079361165,0.0,0.004841990981297162,0.9951580090187028,878
kefBpsiGItrxLHR_STRESS,-18.68029548011647,-18.73498631806916,-18.734986318069186,-18.734986318069186,1,1.0,0,0.0,MPPA,F81,0.0007271017360719367,0.005001110404147239,0.0,0.988662131831973,0.011337868168026951,10
blaTEMIR_AMR,-45.24263494829256,-50.0197484181321,-50.0197484181321,-50.0197484181321,1,1.0,0,0.0,MPPA,F81,0.8758739214301531,6.024386910213903,0.0,0.9905125315466118,0.00948746845338827,8
