,bioproject_id_META
SAMN09400831,PRJNA475751
SAMN09400822,PRJNA475751
SAMN09400811,PRJNA475751
SAMN09400806,PRJNA475751
SAMN09400833,PRJNA475751
SAMN09400815,PRJNA475751
SAMN31488201,PRJNA288601
SAMN05510454,PRJNA278886
SAMN13622037,PRJNA475751
SAMN11285026,PRJNA475751
SAMN09400879,PRJNA475751
SAMN09400827,PRJNA475751
SAMN26308484,PRJNA809394
SAMN04456581,PRJNA278886
SAMN26304497,PRJNA809394
SAMN11319340,PRJNA530580
SAMN11319381,PRJNA530580
SAMN11319293,PRJNA530580
SAMN10093614,PRJNA448593
SAMN06702061,PRJNA381936
SAMN26308473,PRJNA809394
SAMN11335419,PRJNA530794
SAMN11335418,PRJNA530794
SAMN11335417,PRJNA530794
SAMN11335416,PRJNA530794
SAMN11335425,PRJNA530794
SAMN11335424,PRJNA530794
SAMN11335426,PRJNA530794
SAMN11335404,PRJNA530794
SAMN11335408,PRJNA530794
SAMN11335409,PRJNA530794
SAMN11335410,PRJNA530794
SAMN11335411,PRJNA530794
SAMN13082419,PRJNA578285
SAMN13082418,PRJNA578285
SAMN07605641,PRJNA278886
SAMN13082294,PRJNA578285
SAMN13082293,PRJNA578285
SAMN13082272,PRJNA578285
SAMN13082260,PRJNA578285
SAMN13082399,PRJNA578285
SAMN13082355,PRJNA578285
SAMN13082349,PRJNA578285
SAMN13082240,PRJNA578285
SAMN13082329,PRJNA578285
SAMN13082360,PRJNA578285
SAMN26367022,PRJNA288601
SAMN27404442,PRJNA824420
SAMN27404365,PRJNA824420
SAMN27404350,PRJNA824420
SAMN15868742,PRJNA658369
SAMN13082401,PRJNA578285
SAMN13082325,PRJNA578285
SAMN13082324,PRJNA578285
SAMN13082323,PRJNA578285
SAMN13082322,PRJNA578285
SAMN13082321,PRJNA578285
SAMN26308454,PRJNA809394
SAMN27404368,PRJNA824420
SAMN13082404,PRJNA578285
SAMN13082344,PRJNA578285
SAMN13082342,PRJNA578285
SAMN15868329,PRJNA658369
SAMN15869019,PRJNA658369
SAMN15868731,PRJNA658369
SAMN15868807,PRJNA658369
SAMN15868211,PRJNA658369
SAMN28174078,PRJNA836696
SAMN28174077,PRJNA836696
SAMN27404437,PRJNA824420
SAMN27404380,PRJNA824420
SAMN27404379,PRJNA824420
SAMN27404337,PRJNA824420
SAMN16340159,PRJNA475751
SAMN27404389,PRJNA824420
SAMN27404388,PRJNA824420
SAMN27404381,PRJNA824420
SAMN27404339,PRJNA824420
SAMN27404313,PRJNA824420
SAMN09400839,PRJNA475751
SAMN26366668,PRJNA288601
SAMN26308496,PRJNA809394
SAMN26308491,PRJNA809394
SAMN26308497,PRJNA809394
SAMN28174092,PRJNA836696
SAMN31390130,PRJNA288601
SAMN31390129,PRJNA288601
SAMN05510453,PRJNA278886
SAMN07450852,PRJNA278886
SAMN27407159,PRJNA288601
SAMN09400873,PRJNA475751
SAMN11335465,PRJNA530794
SAMN11335464,PRJNA530794
SAMN11335463,PRJNA530794
SAMN11335457,PRJNA530794
SAMN11335456,PRJNA530794
SAMN11335458,PRJNA530794
SAMN11335454,PRJNA530794
SAMN11335455,PRJNA530794
SAMN11335449,PRJNA530794
SAMN15869092,PRJNA658369
SAMN15869090,PRJNA658369
SAMN26367026,PRJNA288601
SAMN26308883,PRJNA809394
SAMN27404361,PRJNA824420
SAMN13082386,PRJNA578285
SAMN13082385,PRJNA578285
SAMN13082384,PRJNA578285
SAMN09400832,PRJNA475751
SAMN09400814,PRJNA475751
SAMN09400804,PRJNA475751
SAMN04096285,PRJNA278886
SAMN04096286,PRJNA278886
SAMN04096287,PRJNA278886
SAMN04096289,PRJNA278886
SAMN04122814,PRJNA278886
SAMN04122817,PRJNA278886
SAMN04122816,PRJNA278886
SAMN04622927,PRJNA278886
SAMN04622923,PRJNA278886
SAMN04622924,PRJNA278886
SAMN04622925,PRJNA278886
SAMN04622926,PRJNA278886
SAMN05178547,PRJNA278886
SAMN05178548,PRJNA278886
SAMN05194541,PRJNA278886
SAMN05194542,PRJNA278886
SAMN05194543,PRJNA278886
SAMN05194544,PRJNA278886
SAMN05194539,PRJNA278886
SAMN05194540,PRJNA278886
SAMN05374483,PRJNA278886
SAMN05374486,PRJNA278886
SAMN05374480,PRJNA278886
SAMN05374481,PRJNA278886
SAMN05374482,PRJNA278886
SAMN04393398,PRJNA278886
SAMN04393388,PRJNA278886
SAMN06007769,PRJNA278886
SAMN06015666,PRJNA278886
SAMN27404326,PRJNA824420
SAMN04122822,PRJNA278886
SAMN04456582,PRJNA278886
SAMN11335445,PRJNA530794
SAMN11335440,PRJNA530794
SAMN11335448,PRJNA530794
SAMN11335446,PRJNA530794
SAMN11335447,PRJNA530794
SAMN27404418,PRJNA824420
SAMN27404400,PRJNA824420
SAMN27404367,PRJNA824420
SAMN05774085,PRJNA278886
SAMN05774078,PRJNA278886
SAMN05806174,PRJNA278886
SAMN06672151,PRJNA278886
SAMN13082291,PRJNA578285
SAMN13082283,PRJNA578285
SAMN13082315,PRJNA578285
SAMN10093581,PRJNA448593
SAMN27404447,PRJNA824420
SAMN15868476,PRJNA658369
SAMN27404436,PRJNA824420
SAMN04393390,PRJNA278886
SAMN11335372,PRJNA530794
SAMN11335373,PRJNA530794
SAMN11335366,PRJNA530794
SAMN11335374,PRJNA530794
SAMN11335375,PRJNA530794
SAMN11335362,PRJNA530794
SAMN09400792,PRJNA475751
SAMN11335385,PRJNA530794
SAMN11335384,PRJNA530794
SAMN11335383,PRJNA530794
SAMN11335378,PRJNA530794
SAMN11335386,PRJNA530794
SAMN09405760,PRJNA475142
SAMN13422978,PRJNA592372
SAMN16340141,PRJNA475751
SAMN28174062,PRJNA836696
SAMN03892127,PRJNA278886
SAMN03892121,PRJNA278886
SAMN04122807,PRJNA278886
SAMN13082300,PRJNA578285
SAMN13082299,PRJNA578285
SAMN13082298,PRJNA578285
SAMN13082297,PRJNA578285
SAMN27404456,PRJNA824420
SAMN27404439,PRJNA824420
SAMN27404408,PRJNA824420
SAMN27404409,PRJNA824420
SAMN27404398,PRJNA824420
SAMN27404394,PRJNA824420
SAMN28174009,PRJNA836696
SAMN26308783,PRJNA809394
SAMN26308782,PRJNA809394
SAMN28174052,PRJNA836696
SAMN28174053,PRJNA836696
SAMN31257659,PRJNA288601
SAMN26308863,PRJNA809394
SAMN26308840,PRJNA809394
SAMN26308875,PRJNA809394
SAMN26308867,PRJNA809394
SAMN26308835,PRJNA809394
SAMN26308881,PRJNA809394
SAMN26308887,PRJNA809394
SAMN26305031,PRJNA809394
SAMN26308873,PRJNA809394
SAMN26308872,PRJNA809394
SAMN06311519,PRJNA278886
SAMN26304462,PRJNA809394
SAMN26308763,PRJNA809394
SAMN26308762,PRJNA809394
SAMN27404364,PRJNA824420
SAMN27404404,PRJNA824420
SAMN27404386,PRJNA824420
SAMN09400878,PRJNA475751
SAMN26308882,PRJNA809394
SAMN26304753,PRJNA809394
SAMN26308761,PRJNA809394
SAMN26304873,PRJNA809394
SAMN26308493,PRJNA809394
SAMN26308471,PRJNA809394
SAMN26304502,PRJNA809394
SAMN26304496,PRJNA809394
SAMN28174099,PRJNA836696
SAMN13082287,PRJNA578285
SAMN26308850,PRJNA809394
SAMN26308866,PRJNA809394
SAMN26305180,PRJNA809394
SAMN26305183,PRJNA809394
SAMN26308479,PRJNA809394
SAMN26308478,PRJNA809394
SAMN26308771,PRJNA809394
SAMN26308772,PRJNA809394
SAMN26308855,PRJNA809394
SAMN26308884,PRJNA809394
SAMN26308810,PRJNA809394
SAMN26308838,PRJNA809394
SAMN26308811,PRJNA809394
SAMN26308489,PRJNA809394
SAMN26308470,PRJNA809394
SAMN27404371,PRJNA824420
SAMN27404370,PRJNA824420
SAMN27404346,PRJNA824420
SAMN27404347,PRJNA824420
SAMN26304906,PRJNA809394
SAMN26308781,PRJNA809394
SAMN26308777,PRJNA809394
SAMN26308770,PRJNA809394
SAMN26308769,PRJNA809394
SAMN26304754,PRJNA809394
SAMN26308779,PRJNA809394
SAMN26308778,PRJNA809394
SAMN26308780,PRJNA809394
SAMN26308464,PRJNA809394
SAMN26304703,PRJNA809394
SAMN26304702,PRJNA809394
