,collection_date,0
SAMN15868503,2017,2018.0
SAMN15868277,2017,2018.0
SAMN15868269,2017,2018.0
SAMN15868239,2016,2017.0
SAMN15869013,2016,2016.0
SAMN15868462,2017,2017.0
SAMN15868458,2017,2018.0
SAMN15868771,2016,2016.0
SAMN15868206,2016,2017.0
SAMN15868166,2017,2018.0
SAMN15869147,2017,2017.0
SAMN15868892,2017,2018.0
SAMN15868953,2017,2018.0
SAMN15868741,2017,2017.28
SAMN15868644,2016,2016.0
SAMN16826310,2020,2020.0
SAMN16895654,2018,2018.0
SAMN16340184,2019,2019.0
SAMN16340172,2019,2019.0
SAMN16340168,2019,2019.89
SAMN16340165,2019,2020.0
SAMN13622053,2019,2019.0
SAMN16340142,2019,2020.0
SAMN16340140,2019,2020.0
SAMN16340134,2019,2020.0
SAMN13622052,2018,2019.0
SAMN13622048,2018,2019.0
SAMN13622046,2018,2018.0
SAMN13622044,2018,2018.0
SAMN13622036,2018,2019.0
SAMN13622033,2018,2019.0
SAMN12220349,2018,2018.0
SAMN12220342,2018,2019.0
SAMN12220343,2018,2018.0
SAMN12220340,2018,2018.0
SAMN12220330,2018,2018.0
SAMN11285029,2018,2018.0
SAMN11285018,2018,2019.0
SAMN10435690,2018,2019.0
SAMN10435686,2018,2019.0
SAMN10435683,2018,2018.34
SAMN10435685,2018,2018.0
SAMN10435681,2018,2018.0
SAMN10435675,2017,2017.0
SAMN09400875,2017,2017.0
SAMN09400870,2017,2017.92
SAMN09400857,2017,2018.0
SAMN09400855,2017,2018.0
SAMN09400849,2017,2017.91
SAMN09400850,2017,2017.0
SAMN09400842,2017,2017.0
SAMN09400835,2017,2017.0
SAMN09400830,2017,2017.0
SAMN09400831,2017,2018.0
SAMN09400822,2017,2018.0
SAMN09400811,2017,2017.17
SAMN09400806,2017,2018.0
SAMN09400833,2017,2018.0
SAMN09400815,2017,2018.0
SAMN31488201,2022,2022.0
SAMN05510454,2016,2017.0
SAMN13622037,2018,2018.0
SAMN11285026,2018,2019.0
SAMN09400879,2017,2018.0
SAMN09400827,2017,2017.0
SAMN26308484,2019-11-25,2019.9
SAMN04456581,2015,2016.0
SAMN26304497,2019-12-12,2019.95
SAMN11319340,2013,2014.0
SAMN11319381,2011,2011.95
SAMN11319293,2011,
SAMN10093614,2015,2015.0
SAMN06702061,2014-11-12,2014.86
SAMN26308473,2019-11-13,2019.87
SAMN11335419,2017/2018,2017.0
SAMN11335418,2017/2018,2017.0
SAMN11335417,2017/2018,2017.0
SAMN11335416,2017/2018,2017.0
SAMN11335425,2017/2018,2017.0
SAMN11335424,2017/2018,2017.0
SAMN11335426,2017/2018,2017.0
SAMN11335404,2017/2018,2017.0
SAMN11335408,2017/2018,2017.0
SAMN11335409,2017/2018,2017.0
SAMN11335410,2017/2018,2017.0
SAMN11335411,2017/2018,2017.0
SAMN13082419,2013,2013.0
SAMN13082418,2013,2013.0
SAMN07605641,2017,2017.0
SAMN13082294,2010,2010.0
SAMN13082293,2010,2010.0
SAMN13082272,2012,2013.0
SAMN13082260,2011,2012.0
SAMN13082399,2012,2012.0
SAMN13082355,2009,2010.0
SAMN13082349,2013,2013.0
SAMN13082240,2010,2010.0
SAMN13082329,2012,2012.0
SAMN13082360,2011,2011.0
SAMN26367022,2021,2022.0
SAMN27404442,2017-01-01,2017.0
SAMN27404365,2018-06-19,2018.46
SAMN27404350,2018-10-20,2018.8
SAMN15868742,2017,2018.0
SAMN13082401,2012,2013.0
SAMN13082325,2013,2014.0
SAMN13082324,2013,2014.0
SAMN13082323,2012,2013.0
SAMN13082322,2012,2012.18
SAMN13082321,2012,2012.18
SAMN26308454,2019-10-31,2019.83
SAMN27404368,2019-01-24,2019.06
SAMN13082404,2012,2012.0
SAMN13082344,2013,2013.0
SAMN13082342,2013,2013.62
SAMN15868329,2017,2017.53
SAMN15869019,2017,2018.0
SAMN15868731,2017,2018.0
SAMN15868807,2016,2017.0
SAMN15868211,2016,2016.21
SAMN28174078,2019-06-02,2019.42
SAMN28174077,2019-06-02,2019.42
SAMN27404437,2017-05-19,2017.38
SAMN27404380,2018-07-06,2018.51
SAMN27404379,2018-07-06,2018.51
SAMN27404337,2016-11-11,2016.86
SAMN16340159,2019,2020.0
SAMN27404389,2019-05-10,2019.35
SAMN27404388,2019-05-10,2019.35
SAMN27404381,2019-09-11,2019.69
SAMN27404339,2018-08-11,2018.61
SAMN27404313,2018-08-14,2018.62
SAMN09400839,2017,2018.0
SAMN26366668,2021,2021.0
SAMN26308496,2020-08-03,2020.59
SAMN26308491,2020-05-08,2020.35
SAMN26308497,2020-08-06,2020.6
SAMN28174092,2020-02-13,2020.12
SAMN31390130,2022-05-05,2022.34
SAMN31390129,2022-08-30,2022.66
SAMN05510453,2016,2016.0
SAMN07450852,2017,2018.0
SAMN27407159,2021,2021.0
SAMN09400873,2017,2017.0
SAMN11335465,2017/2018,2018.2
SAMN11335464,2017/2018,2019.0
SAMN11335463,2017/2018,2019.0
SAMN11335457,2017/2018,2018.2
SAMN11335456,2017/2018,2017.0
SAMN11335458,2017/2018,2018.21
SAMN11335454,2017/2018,2017.0
SAMN11335455,2017/2018,2017.0
SAMN11335449,2017/2018,2017.0
SAMN15869092,2017,2017.0
SAMN15869090,2017,2017.0
SAMN26367026,2021,2021.0
SAMN26308883,2020-05-29,2020.41
SAMN27404361,2018-05-27,2018.4
SAMN13082386,2013,2013.0
SAMN13082385,2012,2013.0
SAMN13082384,2011,2011.0
SAMN09400832,2017,2017.0
SAMN09400814,2017,2017.0
SAMN09400804,2017,2018.0
SAMN04096285,2015,2016.0
SAMN04096286,2015,2016.0
SAMN04096287,2015,2015.0
SAMN04096289,2015,2016.0
SAMN04122814,2015,2016.0
SAMN04122817,2015,2015.0
SAMN04122816,2015,2016.0
SAMN04622927,2014,2015.0
SAMN04622923,2014,2015.0
SAMN04622924,2014,2015.0
SAMN04622925,2014,2015.0
SAMN04622926,2014,2015.0
SAMN05178547,2014,2015.0
SAMN05178548,2014,2014.0
SAMN05194541,2014,2015.0
SAMN05194542,2014,2015.0
SAMN05194543,2014,2015.0
SAMN05194544,2014,2015.0
